Dept,Source (URL),File Type,Associated MIA Object(s): Acc. #,Description / Caption,Credit,Contact Info,Permissions,Additional Notes,,,,,,,,,
JKA,http://firestorage.com/download/9a618d05e433f8965a93909b73fad029310f49a6 download password 7k38cwmv,mov,81.1.1-16,Tsuzuri Project: Bridging 250 Years of History. The Tsuzuri project is the social contribution activities for Canon and Kyoto Culture Association. May 2014    ,Tsuzuri Project: Bridging 250 Years of History. The Tsuzuri project is the social contribution activities for Canon and Kyoto Culture Association. May 2014    , Kenshi Ohkubo <ohkubo@kyo-bunka.or.jp,Indefinitely,Canon is granting us permission to use this video but it CANNOT be cropped. Normally they do not allow permission but this is a special occasion.,,,,,,,,,
JKA,http://www.mustlovejapan.com/howto/howto_wear_yoroi/,,2009.60a-s,Demonstration of how to put on Japanese Armor.,Must Love Japan,,,,,,,,,,,,
JKA,**Created,,2013.31.119,Bill Clark describing artist Fukami Sueharu's method for creating porcelain sculptures like Moment II.,© 2014 Minneapolis Institute of Arts,,,,,,,,,,,,
AAA,https://www.youtube.com/watch?v=j_YiHIYmXn8,,2011.52,Informational video on the Osage Nation,Saint Louis Art Museum,,,,,,,,,,,,
AAA,http://www.nametauinnu.ca/en/culture/spirituality/cosmogony/60/134,,2012.27,The role of Caribou in Innu culture,Nametau Innu,,,,,,,,,,,,
AAA,http://www.nametauinnu.ca/en/nomad/detail/29/23 ,,2012.27,Caribou as the father of all animals,Nametau Innu,,,,,,,,,,,,
AAA,http://nga.gov.au/Exhibition/INCAS/Default.cfm?MnuID=3&GalID=0,,"43.4.1, 43.4.2",National Gallery of Australia trailer for the exhibition “Gold and the Incas: Lost Worlds of Peru” ,The National Gallery of Australia,,,,,,,,,,,,
AAA,http://article.wn.com/view/2013/07/04/British_Museum_puts_on_El_Dorado_exhibition/,,"43.4.1, 43.4.2",Deplition gold video,The British Museum,,,,,,,,,,,,
PNM,http://www.artbabble.org/video/sfmoma/william-kentridge-his-process ,,2014.21,William Kentridge,SFMoMA,contact@artbabble.org,,,,,,,,,,,
PNM,https://www.youtube.com/watch?v=XOysBvBC-6g,,2010.86,Maro Breuer- New Pictures,MIA,,,,,,,,,,,,
PNM,https://www.youtube.com/watch?v=m7PiGglIN5M,,2013.21,Stan Douglas- New Pictures,MIA,,,,,,,,,,,,
PNM,http://www.metopera.org/opera/nose-shostakovich-tickets-2013,,2014.21,William Kentridge,Metropolitan Opera,http://www.metopera.org/metopera/utility/contact/index.aspx?nav=btm,Permissions requested on 12/03/2014,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=w9ROCnWMPww,,75.4,Sol LeWitt and curator Gary Garrels talking on Incomplete Open Cubes,San Francisco Museum of Modern Art,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=gOsLpoa6c_4,,79.12.23,An informational video on Roy Lichtenstein,Tate,,,,,,,,,,,,
CA/CAMP,http://www.art21.org/videos/preview-do-ho-suh-in-season-2-of-art-in-the-twenty-first-century-2003,,2012.77a-d ,A video on the theme of collectivity in Do Ho Suh's work,Art21,,,,,,,,,,,,
CA/CAMP,http://vimeo.com/44564117,,2010.8,Artist Mona Hatoum talking on Cube (9x9x9).,Reportarte,,,,,,,,,,,,
CA/CAMP,http://www.frequency.com/video/kehinde-wiley-world-stage-jamaica-at/126818384/-/5-2499,,2010.99,Artist Kehinde Wiley talking on his artistic process.,Stephen Friedman Gallery,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=LSfn73WCQEs,,2013.17,Artist Mark Dion talking on his artistic process.,© 2014 Minneapolis Institute of Arts,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=eHlmVTn-6Vk,,69.137,Photorealism Revisted at the Oklahoma City Museum of Art,Oklahoma City Museum of Art,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=zmEf7MKDFd4,,69.137,Artist Chuck Close speaks on why he paints portraits.,San Francisco Museum of Modern Art,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=x58_sFJezmM,,69.137,Photorealism in the digital age.,,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=TlwCC6bIDDs,,69.137,Artist Chuck Close speaks on his physical challenges.,San Francisco Museum of Modern Art,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=_e-p5M0vhZI,,69.137,Artist Chuck Close speaks on his use of the grid method.,San Francisco Museum of Modern Art,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=5298KZuW_JE&feature=youtu.be,,2012.117.2a-e ,"Artist known as ""Swoon"" talks on the use of a tag name.",TEDxBrooklyn,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=cN_rRCfRdmQ,,69.132,Artist Frank Stella speaking on his use of protractors.,,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=xDGlPpAYTvE,,69.132,Hanging Tahkt-I-Sulayman Variation II at the MIA.,© 2014 Minneapolis Institute of Arts,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=8ZUbtX31R9U,,2009.57,Contemporary artist Willie Cole works with shoes.,NJ.com,,,,,,,,,,,,
CA/CAMP,https://www.youtube.com/watch?v=dQffKLtGzlU,,2009.57,MIA Artist in Residence: Willie Cole,© 2014 Minneapolis Institute of Arts,,,,,,,,,,,,
P&D,https://www.youtube.com/watch?v=SNKn4PORGBI ,,2012.16,"Printmaking Processes: Intaglio, Minneapolis Institute of Arts, 1999",© 2014 Minneapolis Institute of Arts,,MIA,Will need additional editing for segment on intaglio,,,,,,,,,
