group,original,renamed,object,description,credit,source,contact,permissions,recieved?,passQC?,ready?,revision?,notes
aaa,mia_6000030.tif ,mia_6000030.tif ,2011.52,"Artist Unknown (Osage)
Friendship Blanket
c. 1900
Wool, beads, silk ribbon
62 5/8 x 68 in. (159.07 x 172.72 cm)
The George Family Acquisition Fund for Native American Art 2011.52 ",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
aaa,1924_Indian_Citizenship_Act.jpg,2014_TDX_MIAArtStories_231.tif,2011.52,U.S. President Calvin Coolidge with four Osage Indians after Coolidge signed the bill granting Indians full citizenship.,,http://en.wikipedia.org/wiki/File:1924_Indian_Citizenship_Act.jpg ,,Wikimedia Commons,Yes,Yes,Yes,
aaa,549508_web_editedOsage-Map.jpg,2014_TDX_MIAArtStories_250.tif,2011.52,Osage Ancestral Territory map.,,"http://pawhuskajournalcapital.com/sites/pawhuskajournalcapital.com/files/article/549508_web_editedOsage-Map.jpg
",Osage Nation Tribal Museum 918-287-5441,Requested,Yes,Yes,Yes,
aaa,Map_of_Traditional_Osage_Tribal_Lands_by_Late_17th_Century.jpg,2014_TDX_MIAArtStories_240.tif,2011.52,Map of Traditional Osage Tribal Lands by late 17th century.,,http://upload.wikimedia.org/wikipedia/commons/a/ae/Map_of_Traditional_Osage_Tribal_Lands_by_Late_17th_Century.jpg ,,Wikimedia Commons,Yes,Yes,Yes,
aaa,Little_osages.jpg,2014_TDX_MIAArtStories_239.tif,2011.52,"Charles B.J. de Saint-Memin
An Osage Warrior, c. 1807
",Wikimedia Commons,http://commons.wikimedia.org/wiki/File:Little_osages.jpg ,,Wikimedia Commons,Yes,Yes,Yes,
aaa,mia_6002382.tif,mia_6002382.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
aaa,mia_6002387.tif,mia_6002387.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
aaa,mia_6003312.tif,mia_6003312.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
aaa,mia_6002370.tif,mia_6002370.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
aaa,image.php.jpeg,2014_TDX_MIAArtStories_249,2012.27,French justaucorps.,,http://objektkatalog.gnm.de/objekt/T1660  ,Germanic National Museum,Requested,Yes,Yes,Yes,
aaa,"Gustav_III-_rock,_väst,_byxor,_livgehäng_och_stövlar_till_jaktdräkt_-_Livrustkammaren_-_86116.tif",2014_TDX_MIAArtStories_248.tif,2012.27,"Matti Östling
French justaucorps
The Royal Armory Stockholm",Wikimedia Commons,"http://commons.wikimedia.org/wiki/File:Gustav_III:_rock,_v%C3%A4st,_byxor,_livgeh%C3%A4ng_och_st%C3%B6vlar_till_jaktdr%C3%A4kt_-_Livrustkammaren_-_86116.tif",,Wikimedia Commons,Yes,Yes,Yes,
aaa,Caribou.jpg,2014_TDX_MIAArtStories_235.tif,2012.27,Caribou.,Dean Biggins (U.S. Fish and Wildlife Service) / Wikimedia Commons,http://commons.wikimedia.org/wiki/File:Caribou.jpg,,Wikimedia Commons,Yes,Yes,Yes,
aaa,248_1b.gif,2014_TDX_MIAArtStories_255.tif,2012.27,Tools for making a hunting coat.,,http://www.historymuseum.ca/cmc/exhibitions/tresors/treasure/248eng.shtml ,,Requested,Yes,Yes,Yes,
aaa,DSCN0114.JPG,2014_TDX_MIAArtStories_237.tif,2012.27,Woman sewing caribou hide.,T. Andrews / GNWT,http://www.chesterfieldinlet.com/chesterfield-inlet-caribou-hunting-trips.htm ,"Tom Andrews, PhD - tom_andrews@gov.nt.ca - Territorial Archaeologist Manager, NWT Cultural Places Program Prince of Wales Northern Heritage Centre PO Box 1320, Yellowknife, NT  X1A 2L9 Canada ",Permission granted for use as described below.  Please send me a link to the completed website. (Tom Andrews),Yes,Yes,Yes,Requested larger file
aaa,mia_6003303.tif,mia_6003303.tif,2012.27,"Artist Unknown (Innu / Naskapi)
Hunting Coat
18th century
Caribou hide, pigment
39 1/4 x 59 in. (99.7 x 149.86 cm)
The Robert J. Ulrich Works of Art Purchase Fund 2012.27",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
aaa,mia_5000424.tif,mia_5000424.tif,"43.4.1, 43.4.2","Artist Unknown (Chimu)
Ear spool
1150-1450
Gold alloy
5 3/8 x 5 in. (13.65 x 12.7 cm)
The William Hood Dunwoody Fund 43.4.1",© 2014 Minneapolis Institute of Arts,,,,Yes,Yes,Yes,
aaa,Yanacocha-Goldmine.jpg,2014_TDX_MIAArtStories_241.tif,"43.4.1, 43.4.2",Map showing Andean gold mines/production centers and/or movement northward.,© 2005 Euyasik,http://commons.wikimedia.org/wiki/File:Yanacocha-Goldmine.jpg,,"By Euyasik (Own work) [GFDL (http://www.gnu.org/copyleft/fdl.html) or CC-BY-SA-4.0-3.0-2.5-2.0-1.0 (http://creativecommons.org/licenses/by-sa/4.0-3.0-2.5-2.0-1.0)], via Wikimedia Commons",Yes,Yes,Yes,
